k,l,d_i,wcu_limit,lambda,err
0,0,2,0,2.71095881664768e-15,2.71095881664768e-15
1,0,2,0,-0.571428571430054,0.571428571430054
2,0,2,-0.666666666666667,-1.3333333333353,0.666666666668631
0,1,2,0,8.47174630202401e-16,8.47174630202401e-16
1,1,2,-0.666666666666666,-1.14285714285898,0.476190476192311
2,1,2,-1,-1.55555555555752,0.555555555557525
0,2,2,-1,-1,0
1,2,2,-1.16666666666667,-1.5000000000011,0.333333333334431
2,2,2,-1.3,-1.7142857142871,0.414285714287102
0,0,1,0,3.75437358167235e-15,3.75437358167235e-15
1,0,1,0,-0.400000000002308,0.400000000002308
2,0,1,-0.666666666666667,-1.14285714286049,0.476190476193819
0,1,1,0,8.90868307515465e-16,8.90868307515465e-16
1,1,1,-0.666666666666666,-1.00000000000257,0.333333333335904
2,1,1,-1,-1.40000000000329,0.400000000003293
0,2,1,-1,-1,0
1,2,1,-1.16666666666667,-1.40000000000252,0.233333333335851
2,2,1,-1.3,-1.60000000000318,0.300000000003179
0,0,0.5,0,1.06780916957294e-15,1.06780916957294e-15
1,0,0.5,0,-0.250000000002153,0.250000000002153
2,0,0.5,-0.666666666666667,-0.968750000003072,0.302083333336406
0,1,0.5,0,0,0
1,1,0.5,-0.666666666666666,-0.875000000002379,0.208333333335713
2,1,0.5,-1,-1.25520833333657,0.255208333336572
0,2,0.5,-1,-1,0
1,2,0.5,-1.16666666666667,-1.3125000000025,0.145833333335831
2,2,0.5,-1.3,-1.492187500003,0.192187500002999
0,0,0.25,0,3.66653724520458e-15,3.66653724520458e-15
1,0,0.25,0,-0.142857142859049,0.142857142859049
2,0,0.25,-0.666666666666667,-0.840909090912035,0.174242424245368
0,1,0.25,0,1.22217908173486e-15,1.22217908173486e-15
1,1,0.25,-0.666666666666666,-0.785714285716779,0.119047619050113
2,1,0.25,-1,-1.14772727273001,0.147727272730007
0,2,0.25,-1,-1,0
1,2,0.25,-1.16666666666667,-1.25000000000215,0.0833333333354784
2,2,0.25,-1.3,-1.41152597402874,0.111525974028739
0,0,0.125,0,2.17266736478714e-15,2.17266736478714e-15
1,0,0.125,0,-0.076923076925262,0.076923076925262
2,0,0.125,-0.666666666666667,-0.760989010991095,0.094322344324428
0,1,0.125,0,8.69066945914857e-16,8.69066945914857e-16
1,1,0.125,-0.666666666666666,-0.730769230770912,0.0641025641042461
2,1,0.125,-1,-1.08012820513024,0.0801282051302444
0,2,0.125,-1,-1,0
1,2,0.125,-1.16666666666667,-1.21153846153962,0.0448717948729498
2,2,0.125,-1.3,-1.36057692307863,0.0605769230786339
0,0,0.0625,0,1.99469631262325e-15,1.99469631262325e-15
1,0,0.0625,0,-0.0400000000017388,0.0400000000017388
2,0,0.0625,-0.666666666666667,-0.715853658539444,0.0491869918727771
0,1,0.0625,0,4.4326584724961e-16,4.4326584724961e-16
1,1,0.0625,-0.666666666666666,-0.700000000002454,0.0333333333357877
2,1,0.0625,-1,-1.04182926829542,0.041829268295421
0,2,0.0625,-1,-1,0
1,2,0.0625,-1.16666666666667,-1.19000000000208,0.0233333333354173
2,2,0.0625,-1.3,-1.33164634146616,0.0316463414661599
0,0,0.03125,0,2.11859084196236e-15,2.11859084196236e-15
1,0,0.03125,0,-0.0204081632674692,0.0204081632674692
2,0,0.03125,-0.666666666666667,-0.691798941800996,0.0251322751343298
0,1,0.03125,0,6.51874105219187e-16,6.51874105219187e-16
1,1,0.03125,-0.666666666666666,-0.683673469389483,0.0170068027228166
2,1,0.03125,-1,-1.02138447971981,0.0213844797198089
0,2,0.03125,-1,-1,0
1,2,0.03125,-1.16666666666667,-1.1785714285727,0.0119047619060333
2,2,0.03125,-1.3,-1.31618480725785,0.0161848072578514
